# Configuration des tuiles pour le jeu Zelda
# Format: index,nom_fichier,collision
# collision: true = solide, false = traversable
0,image_part_001.png,true
1,image_part_002.png,true
2,image_part_003.png,true
3,image_part_004.png,true
4,image_part_005.png,false
5,image_part_006.png,false
6,image_part_007.png,false
7,image_part_008.png,false
8,image_part_009.png,true
9,image_part_010.png,true
10,image_part_011.png,false
11,image_part_012.png,false
12,image_part_013.png,true
13,image_part_014.png,true
14,image_part_015.png,true
15,image_part_016.png,true
16,image_part_017.png,true
17,image_part_018.png,false
18,image_part_019.png,false
19,image_part_020.png,false
20,image_part_021.png,false
21,image_part_022.png,false
22,image_part_023.png,true
23,image_part_024.png,true
24,image_part_025.png,true
25,image_part_026.png,true
26,image_part_027.png,true
27,image_part_028.png,false
28,image_part_029.png,true
29,image_part_030.png,true
30,image_part_031.png,true
31,image_part_032.png,true
32,image_part_033.png,true
33,image_part_034.png,true
34,image_part_035.png,false
35,image_part_036.png,false
36,image_part_037.png,false
37,image_part_038.png,false
38,image_part_039.png,true
39,image_part_040.png,true
40,image_part_041.png,false
41,image_part_042.png,true
42,image_part_043.png,true
43,image_part_044.png,true
44,image_part_045.png,true
45,image_part_046.png,true
46,image_part_047.png,true
47,image_part_048.png,true
48,image_part_049.png,false
49,image_part_050.png,false
50,image_part_051.png,false
51,image_part_052.png,false
52,image_part_053.png,false
53,image_part_054.png,false
54,image_part_055.png,true
55,image_part_056.png,true
56,image_part_057.png,true
57,image_part_058.png,true
58,image_part_059.png,true
59,image_part_060.png,true
60,image_part_061.png,true
61,image_part_062.png,false
62,image_part_063.png,false
63,image_part_064.png,false
64,image_part_065.png,false
65,image_part_066.png,false
66,image_part_067.png,false
67,image_part_068.png,false
68,image_part_069.png,true
69,image_part_070.png,false
70,image_part_071.png,false
71,image_part_072.png,true
72,image_part_073.png,true
73,image_part_074.png,true
74,image_part_075.png,false
75,image_part_076.png,true
76,image_part_077.png,true
77,image_part_078.png,true
78,image_part_079.png,true
79,image_part_080.png,true
80,image_part_081.png,false
81,image_part_082.png,false
82,image_part_083.png,true
83,image_part_084.png,true
84,image_part_085.png,false
85,image_part_086.png,true
86,image_part_087.png,false
87,image_part_088.png,true
88,image_part_089.png,true
89,image_part_090.png,true
90,image_part_091.png,true
91,image_part_092.png,true
92,image_part_093.png,false
93,image_part_094.png,true
94,image_part_095.png,true
95,image_part_096.png,true
96,image_part_097.png,true
97,image_part_098.png,true
98,image_part_099.png,true
99,image_part_100.png,true
100,image_part_101.png,true
101,image_part_102.png,true
102,image_part_103.png,true
103,image_part_104.png,true
104,image_part_105.png,false
105,image_part_106.png,false
106,image_part_107.png,true
107,image_part_108.png,true
108,image_part_109.png,true
109,image_part_110.png,true
110,image_part_111.png,true
111,image_part_112.png,true
112,image_part_113.png,true
113,image_part_114.png,true
114,image_part_115.png,true
115,image_part_116.png,true
116,image_part_117.png,true
117,image_part_118.png,false
118,image_part_119.png,false
119,image_part_120.png,true
120,image_part_121.png,true
121,image_part_122.png,true
122,image_part_123.png,true
123,image_part_124.png,true
124,image_part_125.png,false
125,image_part_126.png,false
126,image_part_127.png,true
127,image_part_128.png,true
128,image_part_129.png,true
129,image_part_130.png,false
130,image_part_131.png,false
131,image_part_132.png,true
132,image_part_133.png,true
133,image_part_134.png,false
134,image_part_135.png,false
135,image_part_136.png,false
136,image_part_137.png,false
137,image_part_138.png,true
138,image_part_139.png,false
139,image_part_140.png,false
140,image_part_141.png,false
141,image_part_142.png,true
142,image_part_143.png,false
143,image_part_144.png,false
144,image_part_145.png,true
145,image_part_146.png,false
146,image_part_147.png,false
147,image_part_148.png,false
148,image_part_149.png,false
149,image_part_150.png,false
150,image_part_151.png,false
151,image_part_152.png,false
152,image_part_153.png,true
153,image_part_154.png,true
154,image_part_155.png,true
155,image_part_156.png,true
156,image_part_157.png,true
157,image_part_158.png,true
158,image_part_159.png,true
159,image_part_160.png,true
160,image_part_161.png,true
161,image_part_162.png,true
162,image_part_163.png,true
163,image_part_164.png,true
164,image_part_165.png,true
165,image_part_166.png,false
166,image_part_167.png,false
167,image_part_168.png,false
168,image_part_169.png,false
169,image_part_170.png,false
170,image_part_171.png,true
171,image_part_172.png,false
172,image_part_173.png,true
173,image_part_174.png,true
174,image_part_175.png,true
175,image_part_176.png,true
176,image_part_177.png,true
177,image_part_178.png,false
178,image_part_179.png,false
179,image_part_180.png,true
180,image_part_181.png,false
181,image_part_182.png,false
182,image_part_183.png,true
183,image_part_184.png,false
184,image_part_185.png,true
185,image_part_186.png,true
186,image_part_187.png,true
187,image_part_188.png,true
188,image_part_189.png,true
189,image_part_190.png,true
190,image_part_191.png,true
191,image_part_192.png,true
192,image_part_193.png,true
193,image_part_194.png,true
194,image_part_195.png,true
195,image_part_196.png,true
196,image_part_197.png,true
197,image_part_198.png,true
